review_id,visit_id,review
1,3732,Excellente prise en main lors d'un situation d'urgence d'un traumatisme pneumo-thorax. Personnel attentionné et docteurs qualifiés. Service rapide et réactif. La note google ne représente pas actuellement la qualité des services médicaux.
2,4264,"On arrive pour faire faire sa carte d'hôpital, on se bute à un air bête. On descend à l'admission de la radiologie, on se bute à un air bête. …"
3,5859,J’ai accompagné ma conjointe pour un 8h30 d’attente aux urgences sans voir aucun médecin. Nous sommes arrivée en fin d’après-midi et sommes partie à 2h du matin. Elle avait des symptômes de phlébite. Elle a insisté pour avoir une prise de …
4,8891,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
5,5373,"Complètement incompétents. Laisse les patients souffrants sortir de l’hôpital sans tenir au courant les proches, sans bilan ou explications. Résultat, retour dans un autre hôpital qui j’espère sera plus compétent et humain."
6,6874,"J'y suis hospitalisé  en ce moment... les infirmières sont vraiment hors norme tellement elle sont gentille. J'ai dû faire affaire avec une vingtaine depuis mon arrivée ! Haïtienne, algérienne,française, bref extraordinaire."
7,7744,"Chirurgie d'un jour (CDI) à cet hôpital, première expérience à cet endroit que je connaissais peu. Tout au cours de la journée, les gens de divers services, jusqu'à la dernière heure de notre journée, ont été d'une grande aimabilité: …"
8,4468,"Nous avons perdu un être cher cet après-midi mais l’infirmière Camille, inf. Robin ainsi que le médecin responsable ont pris le temps de nous expliquer le contexte. C’est loin d’être ainsi dans tous les hôpitaux. Même l’inhalotherapeute a …"
9,1705,"Chirugie d'un jour très bien passée pour ma maman. Le personnel est attentif et présent. Service impeccable. Je dirais que les points négatifs sont le manque d'un stationnement et de chaises roulantes. En dehors de ça, je n'ai rien à dire. L'important est que l'on soit bien soigné !"
10,3599,"Je viens d’attendre 8 heures dans la salle d’attente et toujours pas vu de médecin.. Je n’en peux plus malgré ma paralysie d’un côté du corps, je ne suis pas priorisé et on vient de m’apprendre que je suis priorité 4 soit le plus faible niveau, j’abandonne."
11,3222,J’ai attendu 17h aux urgences…Comment peut-on n’avoir qu’un seul médecin pour s’occuper de tous les patients la nuit ? J’ai dû relancer moi-même le personnel pour qu’il y ait de la progression dans mon dossier. La personne du premier triage …
12,8768,"Je suis aller 5 fois au urgence pour un soucis récidivant, j’ai du attendre en tout entre 10-6h à chaque fois et eu des prescription qui non pas arranger ma situation. Pour au final me dire d’aller voir un médecin. Le personel a beau être …"
13,3897,"Hôpital hors pair. Du service, de l'écoute, de la comparaison. On se sent comme un humain pas comme juste un numéro. Avec des recherches approfondies pour trouver exactement ce que vous avez. Je le recommande vivement"
14,1537,Service MÉDIOCRE. Mercredi aux urgences pendant 6h pour passer une radio.. De retours jeudi pour une autre radio attente 6 h pour me faire dire que je vais me faire opérer samedi... Samedi à jeun depuis minuit jusqu'à midi pour ne faire …
15,7216,"J'ai passé 2 semaines récemment a l'hôpital pour une arrythmie cardiaque. Les médecins vous disent a peine ce qu'il se passe et ne sont pas disponibles pour vos questions souvent, j'imagine par faute de personnel. …"
16,7921,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
17,7036,"J'avais une coloscopie rv à 7;30 am. Tout était à l'heure ,prise en charge rapide et courtoise. Dr Leblanc d'une gentilesse et d'un professionnalisme hors pair. Très bien entouré, pour une 1ere colo., belle expérience malgré tout, très belle équipe,  à  dans 3 ans.."
18,3163,"Un accueil & un service remarquable. L’efficacité et la pédagogie du personnel sauront vous accompagner tout au long de votre séjour.Petit bémol, le thermostat avoisine les 25 degrés, un peu chaud pour la saison."
